"id","table_schema","table_name","file_column_name","db_column_name","column_type","column_required","value_required","grouping"
124,"acsm","diag_calib","n_bkgd","n_bkgd","SMALLINT",True,True,"diag_calib"
125,"acsm","diag_calib","Baseline","baseline","INTEGER",True,True,"diag_calib"
126,"acsm","diag_calib","Threshold","threshold","INTEGER",True,True,"diag_calib"
127,"acsm","diag_calib","mzCal_p1","mzcal_p1","NUMERIC(9, 5)",True,True,"diag_calib"
128,"acsm","diag_calib","mzCal_p2","mzcal_p2","NUMERIC(8, 5)",True,True,"diag_calib"
129,"acsm","diag_calib","ratio40div28","ratio40div28","NUMERIC(6, 4)",True,True,"diag_calib"
130,"acsm","tps","RBP","rbp","NUMERIC(5, 1)",True,True,"tps"
131,"acsm","tps","RG","rg","NUMERIC(5, 1)",True,True,"tps"
132,"acsm","tps","Lens","lens","NUMERIC(5, 1)",True,True,"tps"
133,"acsm","tps","Detector","detector","NUMERIC(6, 1)",True,True,"tps"
134,"acsm","tps","HV_Spare","hv_spare","NUMERIC(3, 1)",True,True,"tps"
135,"acsm","tps","Pulser","pulser","NUMERIC(5, 1)",True,True,"tps"
136,"acsm","tps","Lens2","lens2","NUMERIC(5, 2)",True,True,"tps"
137,"acsm","tps","Defl","defl","NUMERIC(5, 2)",True,True,"tps"
138,"acsm","tps","Defl_flange","defl_flange","NUMERIC(5, 2)",True,True,"tps"
139,"acsm","tps","IonEx","ionex","NUMERIC(6, 2)",True,True,"tps"
140,"acsm","tps","Lens1","lens1","NUMERIC(6, 2)",True,True,"tps"
141,"acsm","tps","HB","hb","NUMERIC(5, 2)",True,True,"tps"
142,"acsm","tps","IonChamber","ionchamber","NUMERIC(5, 2)",True,True,"tps"
143,"acsm","tps","Filament_V","filament_v","NUMERIC(5, 2)",True,True,"tps"
144,"acsm","tps","Filament_Emm","filament_emm","NUMERIC(6, 3)",True,True,"tps"
145,"acsm","tps","Filament_I","filament_i","NUMERIC(6, 3)",True,True,"tps"
146,"acsm","tps","Filament_N","filament_n","NUMERIC(21, 0)",True,True,"tps"
147,"acsm","tps","Interlock","interlock","SMALLINT",True,True,"tps"
148,"acsm","tps","HVp","hvp","NUMERIC(6, 1)",True,True,"tps"
149,"acsm","tps","HVn","hvn","NUMERIC(6, 1)",True,True,"tps"
150,"acsm","tps","Turbo_speed","turbo_speed","INTEGER",True,True,"tps"
151,"acsm","tps","Turbo_power","turbo_power","NUMERIC(5, 1)",True,True,"tps"
152,"acsm","tps","Fore_pc","fore_pc","NUMERIC(5, 1)",True,True,"tps"
153,"acsm","tps","TPS_temp","tps_temp","NUMERIC(4, 1)",True,True,"tps"
154,"acsm","tps","Press_ioniser","press_ioniser","NUMERIC(8, 6)",True,True,"tps"
155,"acsm","tps","Press_inlet","press_inlet","NUMERIC(5, 2)",True,True,"tps"
156,"acsm","tps","AIN_3","ain_3","NUMERIC(6, 3)",True,True,"tps"
157,"acsm","tps","AIN_4","ain_4","NUMERIC(6, 3)",True,True,"tps"
158,"acsm","tps","AIN_5","ain_5","NUMERIC(6, 3)",True,True,"tps"
159,"acsm","tps","AIN_6","ain_6","NUMERIC(6, 3)",True,True,"tps"
160,"acsm","tps","Heater_PWM","heater_pwm","SMALLINT",True,True,"tps"
161,"acsm","tps","Heater_I","heater_i","NUMERIC(5, 2)",True,True,"tps"
162,"acsm","tps","Heater_V","heater_v","NUMERIC(5, 2)",True,True,"tps"
163,"acsm","tps","Heater_T","heater_t","NUMERIC(5, 1)",True,True,"tps"
164,"acsm","tps","Servo2_PWM","servo2_pwm","SMALLINT",True,True,"tps"
165,"acsm","tps","Servo3_PWM","servo3_pwm","SMALLINT",True,True,"tps"
166,"acsm","sample_analysis","Year","year","SMALLINT",True,True,"sample_analysis"
167,"acsm","sample_analysis","Stop_DOY","stop_doy","NUMERIC(9, 6)",True,True,"sample_analysis"
168,"acsm","sample_analysis","Status","status","SMALLINT",True,True,"sample_analysis"
169,"acsm","diag_calib","IE_ionspg","ie_ionspg","NUMERIC(4, 1)",True,True,"diag_calib"
170,"acsm","mass_loadings","Chl","chl","NUMERIC(6, 3)",True,True,"mass_loadings"
171,"acsm","mass_loadings","NH4","nh4","NUMERIC(6, 3)",True,True,"mass_loadings"
172,"acsm","mass_loadings","NO3","no3","NUMERIC(6, 3)",True,True,"mass_loadings"
173,"acsm","mass_loadings","Org","org","NUMERIC(6, 3)",True,True,"mass_loadings"
174,"acsm","mass_loadings","SO4","so4","NUMERIC(6, 3)",True,True,"mass_loadings"
175,"acsm","mass_loadings","RIE_Chl","rie_chl","NUMERIC(6, 3)",True,True,"mass_loadings"
176,"acsm","mass_loadings","RIE_NH4","rie_nh4","NUMERIC(6, 3)",True,True,"mass_loadings"
177,"acsm","mass_loadings","RIE_NO3","rie_no3","NUMERIC(6, 3)",True,True,"mass_loadings"
178,"acsm","mass_loadings","RIE_Org","rie_org","NUMERIC(6, 3)",True,True,"mass_loadings"
179,"acsm","mass_loadings","RIE_SO4","rie_so4","NUMERIC(6, 3)",True,True,"mass_loadings"
180,"acsm","mass_loadings","f43","f43","NUMERIC(4, 2)",True,True,"mass_loadings"
181,"acsm","mass_loadings","f44","f44","NUMERIC(4, 2)",True,True,"mass_loadings"
182,"acsm","mass_loadings","f57","f57","NUMERIC(4, 2)",True,True,"mass_loadings"
183,"acsm","mass_loadings","f60","f60","NUMERIC(4, 2)",True,True,"mass_loadings"
184,"acsm","mass_loadings","HOA","hoa","NUMERIC(6, 3)",True,True,"mass_loadings"
185,"acsm","mass_loadings","OOA","ooa","NUMERIC(6, 3)",True,True,"mass_loadings"
186,"acsm","mass_loadings","CE","ce","NUMERIC(3, 1)",True,True,"mass_loadings"
187,"acsm","sample_analysis","start_date","start_date","TIMESTAMP",True,True,"sample_analysis"
188,"acsm","sample_analysis","stop_date","stop_date","TIMESTAMP",True,True,"sample_analysis"
189,"smps","sample_analysis","609.76","concentration_json","float64",True,True,"concen"
190,"smps","sample_analysis","620.82","concentration_json","float64",True,True,"concen"
191,"smps","sample_analysis","632.09","concentration_json","float64",True,True,"concen"
192,"smps","sample_analysis","643.57","concentration_json","float64",True,True,"concen"
193,"smps","sample_analysis","655.25","concentration_json","float64",True,True,"concen"
194,"smps","sample_analysis","667.14","concentration_json","float64",True,True,"concen"
195,"smps","sample_analysis","679.25","concentration_json","float64",True,True,"concen"
196,"smps","sample_analysis","691.58","concentration_json","float64",True,True,"concen"
197,"smps","sample_analysis","704.14","concentration_json","float64",True,True,"concen"
198,"smps","sample_analysis","716.92","concentration_json","float64",True,True,"concen"
199,"smps","sample_analysis","729.93","concentration_json","float64",True,True,"concen"
200,"smps","sample_analysis","743.18","concentration_json","float64",True,True,"concen"
201,"smps","sample_analysis","756.67","concentration_json","float64",True,True,"concen"
202,"smps","sample_analysis","770.40","concentration_json","float64",True,True,"concen"
203,"smps","sample_analysis","784.39","concentration_json","float64",True,True,"concen"
204,"smps","sample_analysis","798.63","concentration_json","float64",True,True,"concen"
205,"smps","sample_analysis","813.12","concentration_json","float64",True,True,"concen"
206,"smps","sample_analysis","_12.98","raw_concentration_json","float64",True,True,"raw_concen"
207,"smps","sample_analysis","_13.22","raw_concentration_json","float64",True,True,"raw_concen"
208,"smps","sample_analysis","_13.46","raw_concentration_json","float64",True,True,"raw_concen"
209,"smps","sample_analysis","_13.70","raw_concentration_json","float64",True,True,"raw_concen"
210,"smps","sample_analysis","_13.95","raw_concentration_json","float64",True,True,"raw_concen"
211,"smps","sample_analysis","_14.20","raw_concentration_json","float64",True,True,"raw_concen"
212,"smps","sample_analysis","_14.46","raw_concentration_json","float64",True,True,"raw_concen"
213,"smps","sample_analysis","_14.72","raw_concentration_json","float64",True,True,"raw_concen"
214,"smps","sample_analysis","_14.99","raw_concentration_json","float64",True,True,"raw_concen"
215,"smps","sample_analysis","_15.26","raw_concentration_json","float64",True,True,"raw_concen"
216,"smps","sample_analysis","_15.54","raw_concentration_json","float64",True,True,"raw_concen"
217,"smps","sample_analysis","_15.82","raw_concentration_json","float64",True,True,"raw_concen"
218,"smps","sample_analysis","_16.11","raw_concentration_json","float64",True,True,"raw_concen"
219,"smps","sample_analysis","_16.40","raw_concentration_json","float64",True,True,"raw_concen"
220,"smps","sample_analysis","_16.70","raw_concentration_json","float64",True,True,"raw_concen"
221,"smps","sample_analysis","_17.00","raw_concentration_json","float64",True,True,"raw_concen"
222,"smps","sample_analysis","_17.31","raw_concentration_json","float64",True,True,"raw_concen"
223,"smps","sample_analysis","_17.62","raw_concentration_json","float64",True,True,"raw_concen"
224,"smps","sample_analysis","_17.94","raw_concentration_json","float64",True,True,"raw_concen"
225,"smps","sample_analysis","_18.27","raw_concentration_json","float64",True,True,"raw_concen"
226,"smps","sample_analysis","_18.60","raw_concentration_json","float64",True,True,"raw_concen"
227,"smps","sample_analysis","_18.94","raw_concentration_json","float64",True,True,"raw_concen"
228,"smps","sample_analysis","_19.28","raw_concentration_json","float64",True,True,"raw_concen"
229,"smps","sample_analysis","_19.63","raw_concentration_json","float64",True,True,"raw_concen"
230,"smps","sample_analysis","_19.99","raw_concentration_json","float64",True,True,"raw_concen"
231,"smps","sample_analysis","_20.35","raw_concentration_json","float64",True,True,"raw_concen"
232,"smps","sample_analysis","_20.72","raw_concentration_json","float64",True,True,"raw_concen"
233,"smps","sample_analysis","_21.10","raw_concentration_json","float64",True,True,"raw_concen"
234,"smps","sample_analysis","_21.48","raw_concentration_json","float64",True,True,"raw_concen"
235,"smps","sample_analysis","_21.87","raw_concentration_json","float64",True,True,"raw_concen"
236,"smps","sample_analysis","_22.27","raw_concentration_json","float64",True,True,"raw_concen"
237,"smps","sample_analysis","_22.67","raw_concentration_json","float64",True,True,"raw_concen"
238,"smps","sample_analysis","_23.08","raw_concentration_json","float64",True,True,"raw_concen"
239,"smps","sample_analysis","_23.50","raw_concentration_json","float64",True,True,"raw_concen"
240,"smps","sample_analysis","_23.93","raw_concentration_json","float64",True,True,"raw_concen"
241,"smps","sample_analysis","_24.36","raw_concentration_json","float64",True,True,"raw_concen"
242,"smps","sample_analysis","_24.80","raw_concentration_json","float64",True,True,"raw_concen"
243,"smps","sample_analysis","_25.25","raw_concentration_json","float64",True,True,"raw_concen"
244,"smps","sample_analysis","_25.71","raw_concentration_json","float64",True,True,"raw_concen"
245,"smps","sample_analysis","_26.18","raw_concentration_json","float64",True,True,"raw_concen"
246,"smps","sample_analysis","_26.66","raw_concentration_json","float64",True,True,"raw_concen"
247,"smps","sample_analysis","_27.14","raw_concentration_json","float64",True,True,"raw_concen"
248,"smps","sample_analysis","_27.63","raw_concentration_json","float64",True,True,"raw_concen"
249,"smps","sample_analysis","_28.13","raw_concentration_json","float64",True,True,"raw_concen"
250,"smps","sample_analysis","_28.64","raw_concentration_json","float64",True,True,"raw_concen"
251,"smps","sample_analysis","_29.16","raw_concentration_json","float64",True,True,"raw_concen"
252,"smps","sample_analysis","_29.69","raw_concentration_json","float64",True,True,"raw_concen"
253,"smps","sample_analysis","_30.23","raw_concentration_json","float64",True,True,"raw_concen"
254,"smps","sample_analysis","_30.78","raw_concentration_json","float64",True,True,"raw_concen"
255,"smps","sample_analysis","_31.34","raw_concentration_json","float64",True,True,"raw_concen"
256,"smps","sample_analysis","_31.91","raw_concentration_json","float64",True,True,"raw_concen"
257,"smps","sample_analysis","_32.49","raw_concentration_json","float64",True,True,"raw_concen"
